year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
1996,Bulgaria,0.34916,0.2704136760366298,8362826,9733.23249649045,56665176230.1267,69.7713957134241,48.6,1066197373.76472,86.5894727130138,109000000,2.8382773399353027,28.12428,-0.344958,0.0019235800054222523
1997,Bulgaria,0.501917,0.35323074787843495,8312068,9686.04433675727,47340766505.7714,779.470207767449,47.6,2670502233.65371,87.2692464747278,504800000,2.8540377616882324,19.94219,1.068723,0.01066311420915542
1998,Bulgaria,0.483749,0.3433809828187525,8256786,10369.9780327934,50706611976.9277,31.1674517190206,45.7,3541830242.31758,77.5016917450445,537317256.150851,2.8698859214782715,7.61691,-0.2126625,0.01059659155289923
1999,Bulgaria,0.450126,0.3251523032391783,8210624,9551.4565818696,47352237997.7247,3.21756664558698,46.2,4334709625.01692,90.7096353904865,818788154.863275,2.885821580886841,10.38936,1.258094,0.01729143519895761
2000,Bulgaria,0.442311,0.3209154079319668,8170172,10056.2019060593,52120721618.9704,7.19676825327954,47.3,5049005008.79924,78.2943876710661,1001503841.99968,2.901846170425415,11.13091,-0.1210048,0.019215080123433332
2001,Bulgaria,0.344109,0.267675280873901,8009142,10645.1532612568,55335343494.4005,6.10840573205935,51.9,6050291051.84784,79.6874898377288,812942201.973002,2.9194586277008057,12.57545,1.035779,0.014691192836912005
2002,Bulgaria,0.384387,0.2895119627912222,7837161,11524.6814654455,60553129254.6569,3.77370585338359,57.1,6542507107.08,75.8541332654957,904659791.087722,2.937177896499634,16.00907,-0.0334654,0.014939934603266572
2003,Bulgaria,0.365341,0.27918619081154844,7775327,12215.2960315217,64871856048.6408,2.27115018306294,57,7383443887.91119,79.625213509477,2096788700.05598,2.9550046920776367,21.2287,-0.1403736,0.032322008768853654
2004,Bulgaria,0.309366,0.24883939428932653,7716860,13099.8995179599,70399897722.9848,5.65948509574096,59.2,8401380804.11534,93.7808170932144,3072550961.81564,2.9729397296905518,28.51101,-0.1125419,0.0436442532048237
2005,Bulgaria,0.34386,0.26754028574511074,7658972,14139.1370009924,78208083827.3208,6.51169251194735,62.3,10647353458.7789,100.496881095796,4098122930.77934,2.990983724594116,34.70578,-0.0955871,0.05240024726635385
2006,Bulgaria,0.373395,0.28355265975643407,7601022,15226.3186865473,85980015393.0808,6.74143763509232,64.1,12026262352.7819,111.85983979436,7874476255.43262,3.0091373920440674,39.29073,-0.0935352,0.0915849598238885
2007,Bulgaria,0.410246,0.30353139666827683,7545338,16465.2256602832,96579784056.4528,11.0913984829363,62.7,13596385542.1687,123.591957645279,13875270456.9117,3.0274007320404053,47.1236,-0.0459552,0.14366640588884863
2008,Bulgaria,0.446085,0.322961478679173,7492561,17579.7062473734,107360420095.648,8.12976551430624,63.7,16582983619.8728,124.844857942792,10296720633.7243,3.0457754135131836,60.65089,-0.1072635,0.09590797637109555
2009,Bulgaria,0.39622,0.29592721322887205,7444443,17058.8259214738,105389796184.852,4.04741747488599,64.6,13652294571.5446,92.9411023225034,3896664559.17164,3.0642611980438232,68.65313,-0.0383404,0.03697383143560647
2010,Bulgaria,0.467999,0.3348421343109366,7395599,17398.8560080617,110529153215.932,1.10747418336967,62.3,11243874373.9001,103.207246630726,1842900000,3.082859516143799,67.88712,-0.0692405,0.016673429103357673
