Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Bulgaria,BGR,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,1066197373.76472,2670502233.65371,3541830242.31758,4334709625.01692,5049005008.79924,6050291051.84784,6542507107.08,7383443887.91119,8401380804.11534,10647353458.7789,12026262352.7819,13596385542.1687,16582983619.8728,13652294571.5446,11243874373.9001,10748883173.142,10944564775.9578,11004128875.0508,11386895898.1995,11689319074.049,10914782726.4113,11267429267.6323
Croatia,HRV,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,6918340439.86074,8644393688.65363,8836044356.1778,8551948258.54274,8290047168.53542,8786773281.15357,10024775810.3513,12379196432.771,13052248527.1488,13560247124.9687,14932322235.5127,16007057920.2189,17475759595.0908,14966121272.0247,12692597308.112,12353962274.7212,11951412986.9998,12114956117.8933,11780557475.9999,12230480672.1184,13019904599.0207,13679087116.0178
Czech Republic,CZE,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,41415627084.8347,39259670390.3946,38811304698.0915,37785713349.1398,40957103401.2021,43240558690.6549,44185409657.0704,44971973871.5222,46732135145.3223,49720105246.1567,52639273230.724,59757464690.3423,61269173876.7875,55084523448.1738,55826319165.3686,56308562300.0774,54567774535.1915,53206707422.7945,55295589907.0707,60930294659.9535,59036089693.4796,61228646604.0572
Estonia,EST,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,1928090938.09495,2380913342.38055,2926571876.99713,2508862848.59924,2864582109.48525,3237487977.26432,4000689113.64611,4710232072.17373,4969671161.26925,5736306926.23129,7041956209.64672,7767797509.05527,6749747313.301,4239092681.43008,4145657939.63767,5621652099.20341,6293425700.93435,6388046942.11628,6217579460.23472,6021244552.06643,6072932935.99538,6833310089.44579
Hungary,HUN,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,17437570256.4968,18955442401.8361,21115277207.8253,22803024000.3986,24168961258.0325,24821620395.2894,26728703916.1803,27037425006.491,29182891159.8468,30238007335.7442,30461336291.9834,31863972852.096,32241426525.3773,29300468178.3182,26526880212.2364,26181690031.7386,25398926925.9422,27887786475.763,31304274799.5494,32794133967.1947,29331765900.4404,34811057107.5076
Lithuania,LTU,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,2921622096.75054,3670547443.78371,4447841138.48341,4185671692.65588,3898482476.90812,4394853794.41198,4882077426.15833,5568461642.34431,6448451794.69508,7188215289.65616,8596635976.9864,10516642240.4519,10096364131.5146,6168619376.16543,6259625718.36866,7520736591.01394,7386995563.03485,8000077213.54894,8457103469.01164,8867782386.31867,9167002919.86058,9920168838.14079
Latvia,LVA,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,1829107568.81638,1923027952.42946,2749558134.41843,2873162324.48684,3507786907.26949,4185328368.911,4021766733.24206,4457576974.80696,5721350112.8927,6916802587.96935,7908207066.60943,9676620770.56508,8690748948.43743,5685845974.4379,4564055412.75163,5649828776.9452,6562248213.10412,6173356257.86144,6153799987.64646,6079125547.14817,5582648622.65833,6214778130.25225
Poland,POL,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,44616456074.0225,54563725002.4873,62336749245.5145,66605644546.148,68060889463.735,60870891785.2287,57156170198.6535,57842669054.4888,61719895201.1408,66870958113.6205,77152522137.1008,91845255861.7716,99933339966.1725,97268596822.87,97226809935.9931,105751334858.886,103871256591.384,102761914237.389,113073326037.21,120005637913.309,110207607866.547,114578980532.617
Slovak Republic,SVK,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,14723423282.3651,16716921004.381,18121352227.0417,15386657005.0369,13504798953.3193,15259062628.0129,15217396267.4928,14541144102.1393,15399886585.9549,18008879806.5567,19239815724.1888,21185851931.236,21967747965.5438,17632429511.1562,19066719090.1156,21781143730.0179,19585190667.7422,19845316909.1173,20408746505.4821,24809988612.0474,22491491441.9899,23367261372.1416
Slovenia,SVN,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,6890623016.89231,7730737208.81345,8349176508.26394,9465107638.23591,9689950737.812,9884234528.7937,9848023605.28704,10418103788.4076,10995698484.26,11392921994.02,12560601791.6713,14058640857.8532,15049450936.3905,11727052819.2469,10153155225.7874,9651559697.85301,8826377040.44762,9129097873.94929,9123356477.83244,9012691443.84108,8679950735.07666,9579720558.21453
Romania,ROU,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,19220534184.5915,18944177620.4502,18056875811.7435,17711642550.9235,18748057935.4268,20725355831.6376,22239882831.3975,24521311596.0596,26876894622.4706,29974512242.7752,37931336088.6331,57275401075.9691,67496837038.4689,44588581898.5219,43361056043.299,45998809900.4541,47439674614.8699,44789621347.5937,46253430052.5266,49729288077.9036,49626956985.6953,51424370418.2426
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,
