YEAR,Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Romania,Slovak Republic,Slovenia
1993,61.17002,NA,59.37218,9.377759,27.75843,14.14365,13.06701,16.63485,NA,51.6382,18.66085
1994,48.32193,24.95496,59.92898,11.96669,23.94348,12.92669,15.88568,14.91644,NA,43.04282,19.49166
1995,24.28765,23.95835,61.50554,13.20895,21.54562,10.90386,14.0007,14.54704,NA,35.03883,20.91071
1996,28.12428,24.32717,60.91018,17.32371,20.12787,6.701235,11.73557,16.15325,4.248942,37.10246,23.79445
1997,19.94219,26.44058,61.63904,24.62988,20.7251,8.087271,10.09663,18.17711,8.082415,46.10094,24.14854
1998,7.61691,32.12974,58.08653,30.36674,22.11084,11.57033,11.24162,20.39298,8.734025,51.51377,26.46695
1999,10.38936,33.1898,50.85651,30.88024,23.55313,14.20646,13.56436,22.69012,8.39856,52.03515,29.50397
2000,11.13091,30.60723,45.13377,31.73746,27.14008,16.4759,13.37138,24.86607,6.3921,50.51132,32.58089
2001,12.57545,32.73384,38.48722,35.72477,30.55948,21.82032,12.8588,26.48634,6.71383,42.65262,34.57138
2002,16.00907,38.02677,30.83362,40.22736,31.90155,27.48819,14.24683,26.92111,8.327307,36.42737,36.04861
2003,21.2287,42.16748,26.80296,45.54691,36.65859,33.18302,18.55981,27.09271,10.90212,33.67274,38.02101
2004,28.51101,44.81142,27.53993,53.23867,42.09579,41.10259,24.60897,26.72807,13.38066,29.02944,42.4976
2005,34.70578,48.23614,30.19313,46.01912,46.40619,52.08829,32.63283,27.52183,16.69505,30.67745,47.24422
2006,39.29073,53.32857,34.3414,62.00156,50.27531,66.21224,42.50381,29.84449,21.33035,34.61711,54.1274
2007,47.1236,57.08838,39.07372,73.64467,56.45425,71.66711,49.60571,34.34603,27.09772,33.79319,61.94298
2008,60.65089,61.14933,45.92265,88.23644,63.70934,83.37827,58.1071,42.86684,34.85983,37.85116,72.0009
2009,68.65313,67.67433,47.65464,102.5376,66.04955,NA,NA,47.08232,43.92548,44.26714,82.00455
2010,67.88712,67.91593,46.04795,95.49323,60.08654,94.49743,57.72232,46.78891,44.55433,43.84652,84.50774
2011,64.7449,69.16518,47.34141,80.52015,58.98307,82.32437,51.50097,48.40796,43.65551,45.35062,83.23753
2012,65.41393,71.24984,49.5856,73.30714,55.25253,69.1521,46.91312,50.10712,43.1197,46.44937,82.31678
2013,66.20646,70.41753,50.5358,70.02206,47.55714,60.26707,43.89564,50.25396,41.6863,47.13572,72.97685
2014,61.88671,69.08689,49.31589,66.78298,43.19698,54.19073,41.15044,50.91005,38.68968,48.39404,59.18109
2015,55.80816,65.75535,48.54056,67.55232,38.41927,49.72129,40.51094,51.90218,35.70179,50.62337,51.33055
2016,52.04464,60.96097,49.77756,67.75011,34.2699,47.20883,41.20742,52.84633,33.41693,54.26967,47.35297
2017,49.80521,57.58961,50.22967,64.81514,32.40913,43.12444,40.43452,51.6862,31.00084,57.28597,44.57029
