Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Poland,POL,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,30,34.2,..,33.3,..,..,..,40.7,..,..,..,30.6,..,..,..,..
Poland,POL,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,POL,GDP at market prices (current US$),NY.GDP.MKTP.CD,66000000000,86000000000,94000000000,96000000000,110000000000,140000000000,160000000000,160000000000,170000000000,170000000000,170000000000,190000000000,200000000000,220000000000,260000000000,310000000000,340000000000,430000000000,530000000000,440000000000,480000000000,530000000000,500000000000,520000000000,550000000000,480000000000,470000000000,530000000000
Poland,POL,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,5947.49,5510.66,5631.96,5827.65,6123.16,6539.95,6930.77,7373.63,7711.15,8069.77,8526.3,8635.07,8815.46,9135.66,9610.46,9950.58,10572.2,11322.1,11801.6,12126.2,12599.5,13224.6,13437.2,13632.5,14095.4,14646.3,15101.4,15826.4
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,POL,Investments financed by equity or stock sales (%),GFDD.AM.04,..,..,..,..,..,..,..,..,..,..,..,..,2.6,2.7,..,0.4,..,..,..,7,..,..,..,1.7,..,..,..,..
Poland,POL,Investments financed by banks (%),GFDD.AI.34,..,..,..,..,..,..,..,..,..,..,..,..,15.3,18.9,..,16.5,..,..,..,23,..,..,..,12.1,..,..,..,..
Poland,POL,"Population, total",SP.POP.TOTL,38000000,38000000,38000000,38000000,39000000,39000000,39000000,39000000,39000000,39000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000
Poland,POL,Working capital financed by banks (%),GFDD.AI.35,..,..,..,..,..,..,..,..,..,..,..,..,12.1,10.7,..,10,..,..,..,..,..,..,..,9.1,..,..,..,..
Hungary,HUN,Firms using banks to finance investments (%),GFDD.AI.28,..,..,..,..,..,..,..,..,..,..,..,..,22.6,..,..,32.8,..,..,..,48.7,..,..,..,22.6,..,..,..,..
